Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
82.302: [GC (Allocation Failure) [PSYoungGen: 32436K->16384K(69632K)] 662726K->646673K(1013760K), 0.0015820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
82.958: [GC (Allocation Failure) [PSYoungGen: 49839K->7168K(69632K)] 833729K->791057K(1013760K), 0.0013503 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.612: [GC (Allocation Failure) [PSYoungGen: 38578K->12288K(69632K)] 822468K->796177K(1013760K), 0.0015801 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.049: [GC (Allocation Failure) [PSYoungGen: 33455K->17408K(69632K)] 889024K->872977K(1013760K), 0.0021335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.052: [GC (Allocation Failure) [PSYoungGen: 17408K->17408K(69632K)] 872977K->872977K(1013760K), 0.0015056 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
84.053: [Full GC (Allocation Failure) [PSYoungGen: 17408K->0K(69632K)] [ParOldGen: 855569K->69137K(944128K)] 872977K->69137K(1013760K), [Metaspace: 2796K->2796K(1056768K)], 0.0066522 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
85.813: [GC (Allocation Failure) [PSYoungGen: 30386K->11264K(69632K)] 376004K->356881K(1013760K), 0.0013446 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.468: [GC (Allocation Failure) [PSYoungGen: 42676K->20480K(69632K)] 388294K->366097K(1013760K), 0.0016798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.448: [GC (Allocation Failure) [PSYoungGen: 53936K->20480K(69632K)] 573634K->540177K(1013760K), 0.0018723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
87.995: [GC (Allocation Failure) [PSYoungGen: 51891K->30720K(69632K)] 571588K->550417K(1013760K), 0.0022378 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.866: [GC (Allocation Failure) [PSYoungGen: 62127K->0K(69632K)] 633025K->570897K(1013760K), 0.0009720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.411: [GC (Allocation Failure) [PSYoungGen: 31410K->15360K(69632K)] 602308K->586257K(1013760K), 0.0015399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.070: [GC (Allocation Failure) [PSYoungGen: 48815K->6144K(69632K)] 773312K->730641K(1013760K), 0.0014454 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
90.729: [GC (Allocation Failure) [PSYoungGen: 37554K->15360K(69632K)] 762052K->739857K(1013760K), 0.0014382 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.713: [GC (Allocation Failure) [PSYoungGen: 48815K->16384K(69632K)] 947392K->914961K(1013760K), 0.0017047 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.133: [GC (Allocation Failure) [PSYoungGen: 49842K->6144K(69632K)] 948420K->904721K(1013760K), 0.0019247 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.678: [GC (Allocation Failure) [PSYoungGen: 37551K->21504K(69632K)] 936129K->920081K(1013760K), 0.0017033 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.900: [GC (Allocation Failure) [PSYoungGen: 52909K->31744K(69632K)] 951486K->930321K(1013760K), 0.0028409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.902: [GC (Allocation Failure) [PSYoungGen: 31744K->31744K(69632K)] 930321K->930321K(1013760K), 0.0024108 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.905: [Full GC (Allocation Failure) [PSYoungGen: 31744K->0K(69632K)] [ParOldGen: 898577K->32768K(944128K)] 930321K->32768K(1013760K), [Metaspace: 2796K->2796K(1056768K)], 0.0044734 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
95.010: [GC (Allocation Failure) [PSYoungGen: 33451K->10240K(69632K)] 219820K->196608K(1013760K), 0.0011409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
96.537: [GC (Allocation Failure) [PSYoungGen: 43696K->5120K(69632K)] 404144K->365568K(1013760K), 0.0010394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.189: [GC (Allocation Failure) [PSYoungGen: 38579K->21504K(69632K)] 552627K->535552K(1013760K), 0.0025155 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
97.844: [GC (Allocation Failure) [PSYoungGen: 52917K->30720K(69632K)] 566965K->544768K(1013760K), 0.0029589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
98.827: [GC (Allocation Failure) [PSYoungGen: 64176K->30720K(69632K)] 752305K->718848K(1013760K), 0.0029294 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
